CONDICAO;NRO_CONTRATO;DATA_MOVIMENTO;DATA_INICIO_UTILIZACAO;TIPO;GRAU_DEPENDENCIA;CPF_TITULAR;CARTEIRINHA;NOME;NOME_MAE;DATA_NASCIMENTO;TIPO_LOGRADOURO;NOME_LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CIDADE;ESTADO;CEP;RG;UF_RG;CPF;PIS;SEXO;ESTADO_CIVIL;DDD;FONE;EMAIL;DATA_FIM_VIGENCIA_CONTRATO;ID_CIDADE_REPASSE;DATA_INICIO_REPASSE;DATA_FIM_REPASSE;CNS;DECLARACAO_NASCIDO_VIVO;CARTEIRINHA_TITULAR;CODMATRICULAFUNCIONARIO;CODIGOPLANODATASYS;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2312313;2024-08-04 16:30:42.445000+00:00;2024-09-05;TI;2E;-;;anderson;maria;2000-02-05;2;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;2;2;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;2312313;2024-08-04 16:43:58.993000+00:00;2024-09-05;TI;1F;-;;anderson;maria;2000-02-05;13;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;2;1;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;2312313;2024-08-04 16:43:58.993000+00:00;2024-09-05;TI;1F;-;;anderson;maria;2000-02-05;13;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;2;1;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;12312312312;2024-08-04 16:51:25.092000+00:00;2024-09-05;TI;1M;-;;anderson;maria;2000-02-05;3;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;1;1;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;2131231;2024-08-04 16:54:48.138000+00:00;2024-09-05;DE;1F;88486484684;;anderson;maria;2000-02-05;2;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;1;2;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;2312313;2024-08-04 16:56:04.262000+00:00;2024-09-05;TI;2E;-;;anderson;maria;2000-02-05;13;ilha;23;AWDAWDA;ilha;ilha;il;12123123;1231231231;rj;1231231;2131231;2;2;21;12312123;awdawd@gmail.com;;;;;;;;;196702;
1;----;2024-08-05 15:47:40.757000+00:00;2024-06-23;TI;;;;AWDAWD;AWDAW;2000-02-05;16;AWDAWD;22;WADAW;WADAW;WDAW;WD;232323;231231231;RJ;123213123;;2;3;21;1231231312;ANDERSONMOURA812@GMAIL.COM;;;;;;;;;196702;
1;----;2024-08-05 16:13:06.904000+00:00;2024-06-23;TI;;;;AWDAWD;AWDAW;2000-02-05;16;AWDAWD;22;WADAW;WADAW;WDAW;WD;232323;31231;RJ;3r4wefsefse;;1;2;21;1231231312;ANDERSONMOURA812@GMAIL.COM;;;;;;;;;196702;
